word_coeff,letter_coeff,pair_coeff,fitness_count,score,cover:
20,5,13,15305,105239.43954049394,0.9925233644859813
20,13,5,73074,100264.33964200606,0.9280373831775701
10,7,3,94831,52519.43595477966,0.9906542056074766
10,3,7,20406,52219.438685017754,0.9878504672897196
10,3,1,118689,52012.811118685764,0.9822429906542056
5,3,1,18756,26444.43954049395,0.9925233644859813
5,1,0,14704,22716.675889492035,0.9121495327102803
3,1,0,55818,15587.410579462205,0.9794392523364486
1,0,0,61220,5432.4395404939505,0.9925233644859813
